latitude,longitude,name,desc,color,source,precision
45.4150467,-75.696312,"296 Bank St. Ottawa, ON   K2P 1X8","296 Bank St, Ottawa, ON K2P 1X8, Canada",,Bing Maps,address
45.3868027,-75.6785507,"2241 Riverside Drive Ottawa, ON   K1H 7X5","2241 Riverside Dr, Ottawa, ON K1H 7X5, Canada",,Bing Maps,address
45.4420738,-75.6435394,"596 Montreal Road Ottawa, ON   K1K 0T9","596 Montreal Rd, Ottawa, ON K1K 0T9, Canada",,Bing Maps,address
45.3731689,-75.6630402,"2691 Altavista Dr Ottawa, ON   K1V 7T5","2691 Alta Vista Dr, Ottawa, ON K1V 7T5, Canada",,Bing Maps,address
45.3501091,-75.7297211,"200 Grant Carman Nepean, ON   K2E 7Z8","200 Grant Carman Dr, Nepean, ON K2E 7Z8, Canada",,Bing Maps,address
45.461714,-75.52610609999999,"1619 Orleans Avenue Ottawa, ON   K1C 7E2",-,,Bing Maps,
45.2699203,-75.6988525,"671 River Road Ottawa, ON   K1V 2G2","671 River Rd, Gloucester, ON K1V 2G2, Canada",,Bing Maps,address
45.2683449,-75.751442,"3777 Strandherd Drive Nepean, ON   K2J 4B1","3777 Strandherd Dr, Nepean, ON K2J 4B1, Canada",,Bing Maps,address
45.3021584,-75.8772964,"300 Eagleson Road Kanata, ON   K2M 1C9","300 Eagleson Rd, Kanata, ON K2M 1C9, Canada",,Bing Maps,address
45.2234306,-75.6836166,"1160 Beaverwood Road PO Box 517 Manotick, ON   K4M 1A5","1160 Beaverwood Rd, Manotick, ON K4M, Canada",,Bing Maps,address
45.2581423,-75.92055319999997,"1251 Main Street Stittsville, ON   K2S 2E5",-,,Bing Maps,
45.2006302,-75.8292618,"5911 Perth St Richmond , ON   K0A 2Z0","5911 Perth St, Richmond, ON K0A 2Z0, Canada",,Bing Maps,address
45.5420647,-75.3003159,"2737 Laurier Street Rockland, ON   K4K 1A3","2737 Laurier St, Rockland, ON K4K 1A3, Canada",,Bing Maps,address
45.2675133,-75.3031998,"753 Notre Dame Street Embrun, ON   K0A 1W0","753 Notre Dame St, Embrun, ON K0A 1W1, Canada",,Bing Maps,address
45.2343788,-76.1822205,"401 Ottawa Street Almonte, ON   K0A 1A0","401 Ottawa St, Almonte, ON K0A 1A0, Canada",,Bing Maps,address
