latitude,longitude,name,desc,color,source,precision
45.3580208,-75.655098,"2210C Bank Street Ottawa, ON   K1V 1J5","2210 Bank St, Ottawa, ON K1V 1J5, Canada",,Bing Maps,address
45.3517227,-75.7618484,"1980 Baseline Road Ottawa, ON   K2C 0C6","1980 Baseline Rd, Nepean, ON K2C 0C6, Canada",,Bing Maps,address
45.3715897,-75.7679062,"2085 Carling Avenue Ottawa, ON   K2A 1H2","2085 Carling Ave, Ottawa, ON K2A 1H2, Canada",,Bing Maps,address
45.3098145,-75.9129868,"200 Earl Grey Drive Ottawa, ON   K2T 1B6","200 Earl Grey Dr, Kanata, ON K2T 1B6, Canada",,Bing Maps,address
45.2680893,-75.7433319,"3201 Greenbank Road Ottawa, ON   K2J 4H9","3201 Greenbank Rd, Nepean, ON K2J 4H9, Canada",,Bing Maps,address
45.4105606,-75.6865768,"64 Isabella Street Ottawa, ON   K1S 1V4","64 Isabella St, Ottawa, ON K1S 1V4, Canada",,Bing Maps,address
45.4309079,-75.6662958,"100 McArthur Road Ottawa, ON   K1L 6P9",-,,Bing Maps,
45.3620987,-75.7347183,"1460 Merivale Road Ottawa, ON   K2E 5P2","1460 Merivale Rd, Nepean, ON K2E 5P2, Canada",,Bing Maps,address
45.4344749,-75.6104355,"1980 Ogilvie Road Ottawa, ON   K1J 9L3","1980 Ogilvie Rd, Gloucester, ON K1J 9L3, Canada",,Bing Maps,address
45.4297562,-75.6837387,"363 Rideau Street Ottawa, ON   K1N 5Y6","363 Rideau St, Ottawa, ON K1N 5Y6, Canada",,Bing Maps,address
45.3240318,-75.8328476,"2065A Robertson Road Ottawa, ON   K2H 5H9","2065 Robertson Rd, Nepean, ON K2H 5Y9, Canada",,Bing Maps,address
45.4000168,-75.6240082,"1910 St. Laurent Blvd Ottawa, ON   K1G 1A4","1910 St Laurent Blvd, Ottawa, ON K1G, Canada",,Bing Maps,address
